Login - 2018-10-08 6:35:17 PM: 0001
Login - 2018-10-08 6:39:14 PM: 0001
Added User - 2018-10-08 6:42:20 PM: New User Id: 0003,UserLevel: SALES_MANAGER,Added by: 0001
Added User - 2018-10-08 6:42:56 PM: New User Id: 0004,UserLevel: CONTROLLER,Added by: 0001
Login - 2018-10-08 7:10:12 PM: 0003
Login - 2018-10-08 7:10:35 PM: 0001
Added User - 2018-10-08 7:12:24 PM, New User Id: 0005,UserLevel: CLERK, Added by: 0001
Login - 2018-10-08 7:12:51 PM: 0005
Login - 2018-10-08 7:19:50 PM: 0001
Logout - 2018-10-08 7:20:22 PM, User Id: 0001
Login - 2018-10-08 7:20:37 PM: 0005
Logout - 2018-10-08 7:20:54 PM, User Id: 0005
Login - 2018-10-08 7:23:38 PM, User Id: 0003
Password Changed  - 2018-10-08 7:25:05 PM, User ID: 0003
Login - 2018-10-08 7:25:36 PM, User Id: 0003
Password Changed  - 2018-10-08 7:25:47 PM, User ID: 0003
Logout - 2018-10-08 7:26:41 PM, User Id: 0003
Login - 2018-10-08 7:28:22 PM, User Id: 0003
Login - 2018-10-08 7:59:28 PM, User Id: 0001
Login - 2018-10-08 8:02:26 PM, User Id: 0004
Login - 2018-10-08 8:02:37 PM, User Id: 0001
Password Reset- 2018-10-08 8:05:03 PM, User Id: 0004,Reset by: 0001
Login - 2018-10-08 8:05:29 PM, User Id: 0004
Login - 2018-10-08 8:05:43 PM, User Id: 0004
Password Changed  - 2018-10-08 8:06:13 PM, User ID: 0004
Logout - 2018-10-08 8:06:29 PM, User Id: 0004
Login - 2018-10-08 8:20:47 PM, User Id: 0003
Password Changed  - 2018-10-08 8:21:13 PM, User ID: 0003
Login - 2018-10-08 8:22:19 PM, User Id: 0001
Password Reset- 2018-10-08 8:22:46 PM,User Id: 0004,Reset by: 0001
Login - 2018-10-08 8:23:06 PM, User Id: 0004
Password Changed  - 2018-10-08 8:23:28 PM, User ID: 0004
Login - 2018-10-08 8:24:02 PM, User Id: 0005
Password Changed  - 2018-10-08 8:24:12 PM, User ID: 0005
Logout - 2018-10-08 8:24:34 PM, User Id: 0005
Login - 2018-10-08 8:24:43 PM, User Id: 0001
Password Reset- 2018-10-08 8:24:57 PM,User Id: 0005,Reset by: 0001
Login - 2018-10-08 8:30:12 PM, User Id: 0001
User Removed- 2018-10-08 8:35:21 PM, Removed User Id: 0005, Removed by: 0001
Login - 2018-10-08 8:51:02 PM, User Id: 0001
Login - 2018-11-04 10:13:19 PM, User Id: 0001
Login - 2018-11-04 10:13:55 PM, User Id: 0001
Login - 2018-11-04 10:15:12 PM, User Id: 0001
Login - 2018-11-04 10:15:41 PM, User Id: 0001
Login - 2018-11-04 10:17:42 PM, User Id: 0001
Login - 2018-11-04 10:18:20 PM, User Id: 0001
Login - 2018-11-04 10:19:13 PM, User Id: 0001
Login - 2018-11-06 11:06:04 PM, User Id: 0001
Login - 2018-11-06 11:07:57 PM, User Id: 0001
Login - 2018-11-06 11:13:02 PM, User Id: 0001
Login - 2018-11-06 11:25:28 PM, User Id: 0001
Login - 2018-11-06 11:26:53 PM, User Id: 0001
Login - 2018-11-06 11:37:04 PM, User Id: 0001
Login - 2018-11-06 11:44:24 PM, User Id: 0001
Login - 2018-11-06 11:46:54 PM, User Id: 0001
Login - 2018-11-06 11:52:27 PM, User Id: 0001
Login - 2018-11-06 11:56:09 PM, User Id: 0001
Login - 2018-11-07 7:37:19 AM, User Id: 0001
Login - 2018-11-07 7:38:28 AM, User Id: 0001
